[1758209002707623799],,,,9.606,3.036,1.367,
[1758209002707623799],,,,,,,0.0
[1758209002712693486],,,,9.438,2.981,1.336,
[1758209002712693486],,,,,,,0.0
[1758209002717771715],,,,9.438,2.911,1.211,
[1758209002717771715],,,,,,,0.0
[1758209002722886195],,,,9.222,2.837,1.302,
[1758209002722886195],,,,,,,0.0
[1758209002727955257],,,,9.369,2.844,1.422,
[1758209002727955257],,,,,,,0.0
[1758209002733128486],,,,9.364,2.914,1.092,
[1758209002733128486],,,,,,,0.0
[1758209002738259632],,,,9.519,2.926,1.274,
[1758209002738259632],,,,,,,0.0
[1758209002743437809],,,,9.467,2.902,1.463,
[1758209002743437809],,,,,,,0.0
[1758209002748505049],,,,9.383,3.045,1.267,
[1758209002748505049],,,,,,,0.0
[1758209002753570830],,,,9.428,3.033,1.08,
[1758209002753570830],,,,,,,0.0
[1758209002758632080],,,,9.313,3.031,1.264,
[1758209002758632080],,,,,,,0.0
[1758209002764157340],,,,9.419,2.787,1.283,
[1758209002764157340],,,,,,,0.0
[1758209002769436872],,,,9.385,2.95,1.094,
[1758209002769436872],,,,,,,0.0
[1758209002774545570],,,,9.232,2.983,1.202,
[1758209002774545570],,,,,,,0.0
[1758209002779750101],,,,9.459,2.895,1.223,
[1758209002779750101],,,,,,,0.0
[1758209002784856247],,,,9.452,3.045,1.252,
[1758209002784856247],,,,,,,0.0
[1758209002789918851],,,,9.287,2.672,1.312,
[1758209002789918851],,,,,,,0.0
[1758209002794977549],,,,9.419,2.847,1.324,
[1758209002794977549],,,,,,,0.0
[1758209002800087340],,,,9.495,2.935,1.42,
[1758209002800087340],,,,,,,0.0
[1758209002805210309],,,,9.45,2.813,1.635,
[1758209002805210309],,,,,,,0.0
[1758209002810400309],,,,9.507,2.768,1.116,
[1758209002810400309],,,,,,,0.0
[1758209002815469424],,,,9.462,2.959,1.326,
[1758209002815469424],,,,,,,0.0
[1758209002820539372],,,,9.421,3.062,1.08,
[1758209002820539372],,,,,,,0.0
[1758209002825669424],,,,9.455,2.78,1.125,
[1758209002825669424],,,,,,,0.0
[1758209002830842757],,,,9.531,2.835,1.389,
[1758209002830842757],,,,,,,0.0
[1758209002835961038],,,,9.354,2.897,1.305,
[1758209002835961038],,,,,,,0.0
[1758209002841099320],,,,9.404,2.88,1.259,
[1758209002841099320],,,,,,,0.0
[1758209002846178486],,,,9.519,2.88,1.393,
[1758209002846178486],,,,,,,0.0
[1758209002851289476],,,,9.474,2.768,1.144,
[1758209002851289476],,,,,,,0.0
[1758209002856388903],,,,9.529,2.892,1.279,
[1758209002856388903],,,,,,,0.0
[1758209002861456663],,,,9.536,3.055,1.377,
[1758209002861456663],,,,,,,0.0
[1758209002866574163],,,,9.488,2.94,1.104,
[1758209002866574163],,,,,,,0.0
[1758209002873224840],,,,9.424,2.964,1.53,
[1758209002873224840],,,,,,,0.0
[1758209002878491455],,,,9.39,2.938,1.092,
[1758209002878491455],,,,,,,0.0
[1758209002883657601],,,,9.541,2.854,1.164,
[1758209002883657601],,,,,,,0.0
[1758209002888697913],,,,9.352,2.966,1.293,
[1758209002888697913],,,,,,,0.0
[1758209002893769788],,,,9.395,2.904,1.372,
[1758209002893769788],,,,,,,0.0
[1758209002898822653],,,,9.414,2.789,1.178,
[1758209002898822653],,,,,,,0.0
[1758209002903858434],,,,9.522,2.868,1.448,
[1758209002903858434],,,,,,,0.0
[1758209002908994424],,,,9.459,2.859,1.477,
[1758209002908994424],,,,,,,0.0
[1758209002914266038],,,,9.579,2.873,1.257,
[1758209002914266038],,,,,,,0.0
[1758209002919829684],,,,9.582,2.758,1.348,
[1758209002919829684],,,,,,,0.0
[1758209002924899528],,,,9.404,2.974,1.104,
[1758209002924899528],,,,,,,0.0
[1758209002930008694],,,,9.627,2.863,1.434,
[1758209002930008694],,,,,,,0.0
[1758209002935082965],,,,9.455,2.801,1.413,
[1758209002935082965],,,,,,,0.0
[1758209002940174840],,,,9.543,2.883,1.355,
[1758209002940174840],,,,,,,0.0
[1758209002945314684],,,,9.431,2.988,1.391,
[1758209002945314684],,,,,,,0.0
[1758209002950376819],,,,9.426,2.837,1.31,
[1758209002950376819],,,,,,,0.0
[1758209002955446247],,,,9.534,2.847,1.257,
[1758209002955446247],,,,,,,0.0
[1758209002960557549],,,,9.543,2.928,1.317,
[1758209002960557549],,,,,,,0.0
[1758209002965607913],,,,9.306,2.883,1.271,
[1758209002965607913],,,,,,,0.0
[1758209002970804944],,,,9.409,2.878,1.219,
[1758209002970804944],,,,,,,0.0
[1758209002976314632],,,,9.491,2.895,1.429,
[1758209002976314632],,,,,,,0.0
[1758209002981556663],,,,9.519,2.854,1.508,
