time_abs_s,time_rel_s,z1_raw,z1_rot_fit,z1_compensated
1758217989.2285957,4.511838912963867,-6.792,-4.803828940442245,-1.9881710595577546
1758217989.2344184,4.5176615715026855,-6.692,-4.89002533243122,-1.8019746675687802
1758217989.2401865,4.52342963218689,-7.099,-4.97460164958683,-2.12439835041317
1758217989.2456772,4.528920412063599,-6.491,-5.054349077585902,-1.4366509224140973
1758217989.2513957,4.53463888168335,-6.871,-5.136599401920667,-1.7344005980793336
1758217989.2569213,4.540164470672607,-6.989,-5.215284082540098,-1.773715917459902
1758217989.2624338,4.545676946640015,-7.302,-5.292995283184858,-2.0090047168151415
1758217989.2684615,4.55170464515686,-7.18,-5.377056844816632,-1.8029431551833675
1758217989.275292,4.558535099029541,-7.338,-5.471142786059722,-1.8668572139402784
1758217989.281819,4.5650622844696045,-7.257,-5.559870373193796,-1.6971296268062037
1758217989.2882538,4.571496963500977,-7.432,-5.6461926237165425,-1.7858073762834579
1758217989.294735,4.577978134155273,-7.324,-5.7319689323001075,-1.5920310676998923
1758217989.3011198,4.584362983703613,-7.585,-5.815305740780248,-1.7696942592197518
1758217989.3074522,4.590695381164551,-7.525,-5.896799869866919,-1.6282001301330817
1758217989.3140345,4.597277641296387,-7.755,-5.980270123930257,-1.7747298760697428
1758217989.3205242,4.603767395019531,-8.059,-6.06131354462834,-1.9976864553716593
1758217989.327123,4.610366106033325,-8.126,-6.14242410904945,-1.9835758909505499
1758217989.3336353,4.616878509521484,-7.819,-6.221178415639834,-1.5978215843601662
1758217989.340157,4.6234002113342285,-7.997,-6.298739293045564,-1.6982607069544358
1758217989.347207,4.630450248718262,-7.91,-6.381095218367808,-1.5289047816321926
1758217989.353687,4.636930227279663,-7.973,-6.455411615716483,-1.517588384283517
1758217989.3601933,4.643436431884766,-7.925,-6.528682942290893,-1.3963170577091066
1758217989.366378,4.649621248245239,-8.236,-6.597070921825278,-1.6389290781747228
1758217989.3720822,4.655325412750244,-8.581,-6.659040966588642,-1.9219590334113574
1758217989.377746,4.660989284515381,-8.559,-6.7195159845762085,-1.8394840154237908
