[1758210585687972037],,,,4.36,8.985,-0.213
[1758210585691633391],,,,4.48,9.052,-0.055
[1758210585695395630],,,,4.362,9.041,-0.062
[1758210585699115057],,,,4.3,8.964,-0.096
[1758210585702851412],,,,4.415,8.993,-0.251
[1758210585706533443],,,,4.396,8.935,-0.017
[1758210585710196360],,,,4.345,8.993,-0.029
[1758210585713838651],,,,4.259,9.017,0.036
[1758210585717562505],,,,4.35,8.973,-0.101
[1758210585721328078],,,,4.31,8.935,-0.036
[1758210585725340370],,,,4.353,8.995,-0.096
[1758210585729140266],,,,4.492,9.041,0.017
[1758210585732805891],,,,4.384,9.103,-0.067
[1758210585736466776],,,,4.257,9.081,-0.057
[1758210585740157505],,,,4.353,9.033,-0.211
[1758210585743805839],,,,4.353,8.995,0.065
[1758210585747457818],,,,4.369,9.014,-0.132
[1758210585751142297],,,,4.324,9.005,-0.081
[1758210585754814380],,,,4.36,9.043,0.113
[1758210585758569589],,,,4.427,9.038,-0.275
[1758210585762235422],,,,4.413,9.05,-0.101
[1758210585765906047],,,,4.465,9.0,-0.089
[1758210585769705578],,,,4.331,9.184,-0.105
[1758210585773391724],,,,4.403,9.108,-0.175
[1758210585777048703],,,,4.417,8.997,0.113
[1758210585780755839],,,,4.503,9.172,-0.113
[1758210585784476203],,,,4.47,8.961,-0.218
[1758210585788189276],,,,4.532,9.045,-0.101
[1758210585791902193],,,,4.458,8.995,-0.098
[1758210585795563182],,,,4.487,8.947,-0.038
[1758210585799266672],,,,4.295,8.993,-0.081
[1758210585802939693],,,,4.506,8.887,-0.038
[1758210585806618599],,,,4.367,8.93,-0.158
[1758210585810303182],,,,4.331,8.985,-0.168
[1758210585813990370],,,,4.42,9.002,-0.096
[1758210585817681255],,,,4.42,9.048,-0.136
[1758210585821484797],,,,4.389,9.098,-0.129
[1758210585825211516],,,,4.336,9.017,0.148
[1758210585829312193],,,,4.389,9.165,0.01
[1758210585833094276],,,,4.345,9.036,-0.134
[1758210585836785526],,,,4.171,9.012,-0.024
[1758210585840460474],,,,4.192,8.959,-0.215
[1758210585844083234],,,,4.334,8.966,-0.036
[1758210585847774380],,,,4.302,9.031,-0.151
[1758210585851485995],,,,4.42,8.993,-0.189
[1758210585855142609],,,,4.482,9.017,-0.113
[1758210585858804380],,,,4.386,8.938,-0.242
[1758210585862458130],,,,4.35,9.057,-0.093
[1758210585866145630],,,,4.458,9.184,-0.101
[1758210585869918912],,,,4.413,8.954,-0.024
[1758210585873603339],,,,4.324,8.921,-0.034
[1758210585877327714],,,,4.508,9.031,-0.108
[1758210585881055162],,,,4.365,9.012,-0.031
[1758210585884706359],,,,4.362,9.081,-0.036
[1758210585888410214],,,,4.288,8.957,-0.105
[1758210585892115005],,,,4.408,9.187,-0.043
[1758210585895796307],,,,4.362,8.904,-0.129
[1758210585899448026],,,,4.379,8.973,-0.098
[1758210585903073182],,,,4.31,9.088,-0.067
[1758210585907257609],,,,4.444,9.139,-0.196
